"game_date","day_of_week","away_team","away_score","home_team","home_score","status","result","winner","is_conference","location","boxscore_url"
2026-02-21,"Saturday","Macalester",2,"Loras College",10,"Final","Final","Loras College",FALSE,"Topeka, KS // Bettis Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP2It0DhtCTaIwdejXxEBYlUGZd1sTGKHcilbQqIxG4EXxo08Xv2XDQgtCZHPWaUhk4&path=baseball"
2026-02-21,"Saturday","Saint Mary's",11,"Luther College",8,"Final","Final","Saint Mary's",FALSE,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uC87mGJeePUjJQCR4m%2beWK%2fv6VleGWydGyOjJ7C3PVNIkfYyvITV%2bRA5tO5wIfboZJ&path=baseball"
2026-02-21,"Saturday","St. Scholastica",NA,"University of Wisconsin-Stout",NA,"Postponed","Postponed",NA,FALSE,"Jacksonville, IL // Future Champions Sports Complex",NA
2026-02-22,"Sunday","Saint Mary's",6,"Luther College",5,"Final","Final","Saint Mary's",FALSE,"Tucson, AZ // Kino Sports Complex","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPor8yFQfWAD2KGPNKRj6w3D%2fq%2fVaLsSsuL4oLYZU5chC%2b6vVxES4BK1nERUk9r2uCDHyy0XQhSILe59ICaIe084eAiSqpm%2bgJMn9hvE%2blBBskquLZa7EoW4wcY3JqZPW6&path=baseball"
2026-02-26,"Thursday","Bethel",20,"Crown College",3,"Final","Final
                                                                                        
                                            
                                            
                                                (7 Innings)","Bethel",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UD8JIsG9VmqkYvHVFIOXaUp2AI9fHEQeodW8dyFbIAGe%2f%2bsMRW7vXmWYfgNCFUi7D&path=baseball"
2026-02-26,"Thursday","Bethel",22,"Crown College",1,"Final","Final","Bethel",FALSE,"Minneapolis, MN // U.S. Bank Stadium
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhjzahKugRChgIwJOnQuU36Zc5dowlAKrNQcQu3%2bqXx8UWzz%2bmqzbrAxPpOtYRr35oowbhMcXukkhaT8yz%2bsjkImIzszNM0asM9Fq34ikjfyZ&path=baseball"
2026-02-27,"Friday","Carleton",4,"University of Wisconsin-Superior",17,"Final","Final","University of Wisconsin-Superior",FALSE,"Marion, IA // Prospect Meadows
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhiHCgSvVo6vyVvsDuDSb0a%2bJ%2fFIk6s5oCHx1cXIv%2bDfqjZotIg8zZG001kLuZwpfUlxaJGQJoqoZwYVkjxD3vwSylUN%2fTQJ3y8CjSXf%2bmvIF&path=baseball"
2026-02-27,"Friday","Allegheny College",3,"St. Olaf",14,"Final","Final
                                                                                        
                                            
                                            
                                                (7 inn.)","St. Olaf",FALSE,"Davenport, FL // NERP #2","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLHwJ75qoHkwtKhjgIJyBmIxdqZACSC%2fCyduK7%2ff0q%2fN%2f9wXUlLXMuEjg45PYvROIy&path=baseball"
2026-02-27,"Friday","Martin Luther College",5,"Hamline",6,"Final","Final","Hamline",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiS5TrIwPnw4HyI7hV87JqNFZD5NkUpCvhui6w2jYdk9%2brPrt7VryA5KV8DAKowesG&path=baseball"
2026-02-27,"Friday","Saint John's",8,"Buena Vista University",13,"Final","Final","Buena Vista University",FALSE,"Shawnee, KS
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OIkcKnVSe0vMCb8tLG6l0m8%2fstJu0FZHRhp2WO3mX9%2fs%3d&path=baseball"
2026-02-27,"Friday","Carleton",7,"University of Wisconsin-Superior",10,"Final","Final","University of Wisconsin-Superior",FALSE,"Marion, IA // Prospect Meadows
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhiHCgSvVo6vyVvsDuDSb0a%2bJ%2fFIk6s5oCHx1cXIv%2bDfqJlrzGCbPwPgZHA0h7qwO7AS0e2Dw2VMRLzfuWBO3C28Ro1Gttzjop7cL6lvozKAV&path=baseball"
2026-02-27,"Friday","Saint John's",11,"Buena Vista University",1,"Final","Final","Saint John's",FALSE,"Shawnee, KS
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPHagrYYNu%2bk3eVWQRh5K35AjONin5olwY4wMNOh86t8ekarPMZ2yS6mfxgb2RiR3OppaUUJOVYBWdMoE41RGC%2bR5HAojF5dkn%2fbPurkXXM3s%3d&path=baseball"
2026-02-27,"Friday","Hamline",5,"Martin Luther College",7,"Final","Final","Martin Luther College",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiiIgIDrep8R1ktKECFvEev3PPVF4LTMteEUOvu4nGexqW%2fq0KHXbvOond0V%2fOZmVw&path=baseball"
2026-02-27,"Friday","Macalester",7,"University of Mary Hardin-Baylor",4,"Final","Final","Macalester",FALSE,"Belton, TX // Red Murff Field","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP27wxtnKmp%2bboCR7Ohj%2b9tI2qAYtvxRmhba81RtLHcKwYjNPWWbpDPTl42m1Wymzob&path=baseball"
2026-02-28,"Saturday","Massachusetts Institute of Technology",1,"St. Olaf",3,"Final","Final","St. Olaf",FALSE,"Winter Haven, FL // Chain of Lakes #3
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLeNTJcW2Mbgo4OYk0TPTnxOyKVgTmSQ25oTBvzDCYMdv1kJdqxV9KYJgGo%2f%2bVeikC&path=baseball"
2026-02-28,"Saturday","Hamline",8,"Martin Luther College",5,"Final","Final","Hamline",FALSE,"Topeka, KS // Bettis Sports Complex
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPGBOMQ6HzAX3wcEsySnJXko%2bkFOoKQSSLBvhfpeT0ohBQdoC2HNEJUUesGkojIIgiMnso51EF9GEWz%2bieiV33XHDK1m%2bnXoiw6LNCpqeXn%2bNfVl772YZdbg9WepKGXog4&path=baseball"
2026-02-28,"Saturday","Macalester",14,"University of Mary Hardin-Baylor",10,"Final","Final","Macalester",FALSE,"Belton, TX // Red Murff Field
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUPU2iqzJuGrvibprNxltHfhh3G3opbCW7vkb0ASu%2fFCot4H8%2bD12wwparOOT4BdTP27wxtnKmp%2bboCR7Ohj%2b9tI4W5pPOTAo0Xc%2fDdKGK5KDMqmp%2bZbL4AlUJkX9e2bY9a&path=baseball"
2026-02-28,"Saturday","Massachusetts Institute of Technology",0,"St. Olaf",4,"Final","Final","St. Olaf",FALSE,"Winter Haven, FL // Chain of Lakes #3
                                        
                                        
                                        
                                            (DH)","https://miacathletics.com/boxscore.aspx?id=7ltyipP022aUJKmSgYVs3wXi7up73ghniwD5ElWyd07J7BNseBaMQePf0fY%2f3yUP%2fQHI2wJpL9mAWLJQ%2fNw1xY7LNwxX1Ym%2fjJnty4%2bEdWV0F9JSL77fDPnRfQULtyhLHfWIze0%2fd2%2fdel07myoLfbXIVUcJQ7Y0xyPQkrrwp3svTHzjKLNIPKUNimtiSgsR&path=baseball"
